Energy	Sweep0	Sweep1	Sweep2	Sweep3	Sum
2265.8503418	4123.38916016	4204.14941406	4179.95800781	4181.12158203	16688.6181641	
2265.90039062	4220.03955078	4178.94628906	4263.63232422	4162.39794922	16825.0161133	
2265.95019531	4265.27832031	4272.69091797	4183.96728516	4197.14550781	16919.0820312	
2266.00024414	4342.57080078	4292.57617188	4335.40966797	4256.00830078	17226.5649414	
2266.05029297	4372.3671875	4441.86425781	4398.91210938	4310.81933594	17523.9628906	
2266.1003418	4511.16992188	4441.22949219	4463.35009766	4376.21728516	17791.9667969	
2266.15039062	4619.04736328	4445.75439453	4452.90771484	4408.79345703	17926.5029297	
2266.20019531	4535.41015625	4462.19238281	4461.42578125	4450.24462891	17909.2729492	
2266.25024414	4609.24169922	4503.74609375	4509.47070312	4545.86181641	18168.3203125	
2266.30029297	4620.30371094	4565.00683594	4625.73046875	4579.38183594	18390.4228516	
2266.3503418	4668.17431641	4699.18066406	4570.14306641	4697.42529297	18634.9233398	
2266.40039062	4465.90332031	4681.03857422	4654.64111328	4705.96240234	18507.5454102	
2266.45019531	4672.26904297	4691.31005859	4724.44775391	4775.63574219	18863.6625977	
2266.50024414	4781.99169922	4624.34326172	4663.27294922	4744.20068359	18813.8085938	
2266.55029297	4852.37451172	4760.11132812	4821.46923828	4801.72509766	19235.6801758	
2266.6003418	4868.77539062	4811.13818359	4837.30761719	4803.35693359	19320.578125	
2266.65039062	4791.26318359	4882.57763672	4848.01611328	4847.81591797	19369.6728516	
2266.70019531	4896.51074219	4892.22314453	4967.03955078	4821.67236328	19577.4458008	
2266.75024414	4915.00341797	5023.13134766	5056.47558594	4878.97851562	19873.5888672	
2266.80029297	4921.51513672	4996.78955078	5027.75048828	4988.35595703	19934.4111328	
2266.8503418	4999.14550781	5079.02734375	4904.75976562	5006.52392578	19989.456543	
2266.90039062	4966.78222656	5030.1875	5029.96728516	4977.81396484	20004.7509766	
2266.95019531	5041.92333984	4945.88671875	5061.12402344	5090.77880859	20139.7128906	
2267.00024414	5178.77294922	5061.69873047	5089.37158203	5063.30957031	20393.152832	
2267.05029297	5097.40820312	5128.50830078	5101.93261719	5096.87109375	20424.7202148	
2267.1003418	5094.87792969	5206.38720703	5116.08398438	5200.77929688	20618.128418	
2267.15039062	5120.87109375	5209.14990234	5147.01660156	5261.18310547	20738.2207031	
2267.20019531	5205.62988281	5234.17578125	5159.52587891	5166.28564453	20765.6171875	
2267.25024414	5133.42626953	5132.46875	5222.06494141	5141.15136719	20629.1113281	
2267.30029297	5266.27490234	5262.17041016	5261.27636719	5165.21337891	20954.9350586	
2267.3503418	5230.953125	5430.03515625	5335.06640625	5148.43261719	21144.4873047	
2267.40039062	5232.38916016	5410.95458984	5354.79736328	5169.16699219	21167.3081055	
2267.45019531	5341.77587891	5362.58349609	5298.23681641	5245.984375	21248.5805664	
2267.50024414	5303.95947266	5314.61181641	5230.07910156	5362.44970703	21211.1000977	
2267.55029297	5288.39697266	5336.55908203	5298.22851562	5390.44042969	21313.625	
2267.6003418	5332.16113281	5446.86132812	5295.72802734	5361.01855469	21435.769043	
2267.65039062	5350.39013672	5430.01367188	5335.51806641	5415.78564453	21531.7075195	
2267.70019531	5391.90136719	5475.13183594	5466.03417969	5310.32128906	21643.3886719	
2267.75024414	5526.24414062	5391.17382812	5394.89160156	5348.69873047	21661.0083008	
2267.80029297	5453.27197266	5431.15527344	5425.9765625	5352.16894531	21662.5727539	
2267.8503418	5523.4140625	5460.62988281	5634.32470703	5563.67675781	22182.0454102	
2267.90039062	5615.41943359	5526.52001953	5577.640625	5557.93945312	22277.5195312	
2267.95019531	5634.14794922	5597.66894531	5533.03662109	5562.50634766	22327.3598633	
2268.00024414	5659.01953125	5645.92041016	5605.56738281	5565.77246094	22476.2797852	
2268.05029297	5579.71533203	5746.93310547	5576.23339844	5575.34619141	22478.2280273	
2268.1003418	5610.82421875	5761.21777344	5547.96533203	5651.09570312	22571.1030273	
2268.15039062	5656.79492188	5796.37646484	5705.36962891	5759.96972656	22918.5107422	
2268.20019531	5698.70800781	5796.94873047	5673.45068359	5631.51367188	22800.6210938	
2268.25024414	5694.74414062	5596.39648438	5712.75634766	5553.12597656	22557.0229492	
2268.30029297	5711.08544922	5782.77441406	5785.6953125	5644.29394531	22923.8491211	
2268.3503418	5656.04345703	5753.91601562	5738.77734375	5700.18603516	22848.9228516	
2268.40039062	5543.62353516	5653.88476562	5726.20214844	5648.70654297	22572.4169922	
2268.45019531	5466.72607422	5702.41210938	5692.1875	5634.33740234	22495.6630859	
2268.50024414	5579.55419922	5607.953125	5527.49462891	5546.25488281	22261.2568359	
2268.55029297	5646.11572266	5713.06591797	5489.06396484	5650.40576172	22498.6513672	
2268.6003418	5588.87646484	5743.93408203	5462.10253906	5671.04101562	22465.9541016	
2268.65039062	5513.22900391	5607.6640625	5544.40283203	5667.01269531	22332.3085938	
2268.70019531	5530.15332031	5651.24316406	5513.37744141	5374.97070312	22069.7446289	
2268.75024414	5598.52490234	5691.91748047	5568.82958984	5497.62207031	22356.894043	
2268.80029297	5500.21972656	5468.51513672	5476.04394531	5665.45458984	22110.2333984	
2268.8503418	5553.52636719	5565.33349609	5524.91357422	5543.20751953	22186.980957	
2268.90039062	5464.48242188	5461.88330078	5424.49121094	5461.10253906	21811.9594727	
2268.95019531	5436.80859375	5460.08154297	5343.94580078	5412.98291016	21653.8188477	
2269.00024414	5360.49560547	5337.5625	5395.22070312	5311.96044922	21405.2392578	
2269.05029297	5362.84082031	5377.69433594	5384.84033203	5464.47851562	21589.8540039	
2269.1003418	5317.72558594	5367.28564453	5160.94140625	5346.32861328	21192.28125	
2269.15039062	5235.77001953	5119.55615234	5160.94091797	5214.58447266	20730.8515625	
2269.20019531	5223.91845703	5235.46435547	5214.11474609	5154.31542969	20827.8129883	
2269.25024414	5126.86621094	5043.33154297	5067.90869141	5093.24462891	20331.3510742	
2269.30029297	4984.80810547	5025.75195312	4996.28173828	5032.1875	20039.0292969	
2269.3503418	4945.35644531	4955.78955078	4951.77880859	4899.49804688	19752.4228516	
2269.40039062	4926.51416016	4889.47851562	4797.14648438	4784.39501953	19397.5341797	
2269.45019531	4810.82324219	4911.90869141	4658.82568359	4668.66650391	19050.2241211	
2269.50024414	4661.01806641	4693.35693359	4590.71142578	4578.44042969	18523.5268555	
2269.55029297	4496.14794922	4740.53271484	4519.60791016	4409.20507812	18165.4936523	
2269.6003418	4355.56835938	4556.65625	4538.31396484	4408.56152344	17859.1000977	
2269.65039062	4351.99755859	4419.03564453	4381.76171875	4417.83349609	17570.628418	
2269.70019531	4271.36376953	4403.58935547	4296.87060547	4303.67871094	17275.5024414	
2269.75024414	4267.97216797	4241.45019531	4125.43994141	4315.23828125	16950.1005859	
2269.80029297	4122.01171875	4253.87646484	4143.18017578	4191.51660156	16710.5849609	
2269.8503418	4067.56323242	4112.21875	4178.45605469	4097.60205078	16455.8400879	
2269.90039062	3954.33154297	4091.50830078	3979.40991211	3998.0168457	16023.2666016	
2269.95019531	3901.46557617	4045.92602539	3970.17919922	3981.19482422	15898.765625	
2270.00024414	3765.85400391	3801.00830078	3955.671875	3842.9777832	15365.5119629	
2270.05029297	3755.74536133	3680.4152832	3797.24804688	3748.51000977	14981.9187012	
2270.1003418	3584.12060547	3726.86767578	3658.40698242	3615.11376953	14584.5090332	
2270.15039062	3446.71704102	3559.01318359	3554.88745117	3578.56738281	14139.1850586	
2270.20019531	3344.05810547	3392.02099609	3334.65209961	3385.1550293	13455.8862305	
2270.25024414	3167.48852539	3342.80834961	3161.31201172	3291.625	12963.2338867	
2270.30029297	3106.89428711	3089.50366211	3033.0065918	3062.03564453	12291.4401855	
2270.3503418	2916.35986328	2919.80395508	2969.24121094	2914.69799805	11720.1030273	
2270.40039062	2769.40332031	2864.50878906	2740.48120117	2675.79931641	11050.192627	
2270.45019531	2587.62109375	2503.30566406	2541.30297852	2524.89501953	10157.1247559	
2270.50024414	2358.79785156	2376.72363281	2365.64379883	2359.83935547	9461.00463867	
2270.55029297	2161.68920898	2177.01196289	2162.32568359	2239.88671875	8740.91357422	
2270.6003418	2017.6628418	1967.23522949	2120.30615234	2056.17114258	8161.37536621	
2270.65039062	1885.078125	1907.44030762	1907.05786133	1924.92321777	7624.49951172	
2270.70019531	1739.78942871	1732.29345703	1734.76965332	1694.63391113	6901.4864502	
2270.75024414	1583.13012695	1497.01403809	1578.5213623	1634.34448242	6293.01000977	
2270.80029297	1464.68786621	1501.53601074	1494.99731445	1490.17785645	5951.39904785	
2270.8503418	1375.00158691	1355.71582031	1347.60961914	1364.86669922	5443.19372559	
2270.90039062	1258.2421875	1268.98168945	1316.91894531	1329.52539062	5173.66821289	
2270.95019531	1178.953125	1183.45080566	1168.23718262	1213.20336914	4743.84448242	
2271.00024414	1094.22094727	1131.93505859	1146.62072754	1142.82971191	4515.60644531	
2271.05029297	984.465698242	1027.12451172	1022.84124756	1051.61206055	4086.04351807	
2271.1003418	995.553344727	968.18963623	1012.16271973	1010.04284668	3985.94854736	
