Energy	Sweep0	Sweep1	Sum
1209.70007324	5135.12548828	5140.83154297	10275.9570312	
1209.75	5078.41162109	5068.13378906	10146.5454102	
1209.80004883	5078.30322266	5186.40722656	10264.7104492	
1209.85009766	5075.70019531	5093.56738281	10169.2675781	
1209.90002441	5095.33935547	5063.93603516	10159.2753906	
1209.95007324	5108.08691406	5213.5625	10321.6494141	
1210.0	5083.72851562	5166.30029297	10250.0288086	
1210.05004883	4999.97167969	5166.03759766	10166.0092773	
1210.10009766	5020.13183594	5108.94873047	10129.0805664	
1210.15002441	5073.68994141	5278.67529297	10352.3652344	
1210.20007324	5033.93554688	5210.16699219	10244.1025391	
1210.25	4978.25341797	5190.56933594	10168.8227539	
1210.30004883	5133.23974609	5086.92773438	10220.1674805	
1210.35009766	5096.97558594	5115.13671875	10212.1123047	
1210.40002441	4998.10644531	5222.19384766	10220.300293	
1210.45007324	5066.17724609	5131.78613281	10197.9633789	
1210.5	5059.32226562	5151.25537109	10210.5776367	
1210.55004883	5088.66015625	5255.44726562	10344.1074219	
1210.60009766	5134.55029297	5146.18505859	10280.7353516	
1210.65002441	5058.50244141	5081.59326172	10140.0957031	
1210.70007324	5152.4375	5238.45898438	10390.8964844	
1210.75	5219.04345703	5254.91210938	10473.9555664	
1210.80004883	5121.05078125	5188.06640625	10309.1171875	
1210.85009766	5087.36572266	5134.60742188	10221.9731445	
1210.90002441	5084.90380859	5213.78808594	10298.6918945	
1210.95007324	4949.44482422	5241.97119141	10191.4160156	
1211.0	5031.54199219	5070.703125	10102.2451172	
1211.05004883	5119.33154297	5073.62353516	10192.9550781	
1211.10009766	5186.74511719	5126.58398438	10313.3291016	
1211.15002441	5100.18652344	5191.90917969	10292.0957031	
1211.20007324	5117.88720703	5353.41210938	10471.2993164	
1211.25	5147.83349609	5221.86376953	10369.6972656	
1211.30004883	5118.93359375	5124.05908203	10242.9926758	
1211.35009766	5045.49951172	5125.94677734	10171.4462891	
1211.40002441	5040.83251953	5264.0625	10304.8950195	
1211.45007324	5050.86083984	5311.64746094	10362.5083008	
1211.5	5172.26074219	5312.50732422	10484.7680664	
1211.55004883	5074.28222656	5224.15673828	10298.4389648	
1211.60009766	5147.02783203	5130.25	10277.277832	
