Energy	Sweep0	
2128.8503418	2030.08642578	
2128.90039062	2071.71704102	
2128.95019531	2061.35571289	
2129.00024414	2045.24487305	
2129.05029297	2071.45776367	
2129.1003418	2123.81640625	
2129.15039062	2066.29272461	
2129.20019531	2089.63671875	
2129.25024414	2052.69775391	
2129.30029297	2062.7746582	
2129.3503418	2083.36865234	
2129.40039062	2116.48681641	
2129.45019531	2098.10717773	
2129.50024414	2123.83837891	
2129.55029297	2145.99243164	
2129.6003418	2118.33886719	
2129.65039062	2023.41784668	
2129.70019531	2109.97631836	
2129.75024414	2077.96728516	
2129.80029297	2048.01245117	
2129.8503418	2116.13696289	
2129.90039062	2097.26977539	
2129.95019531	2101.94555664	
2130.00024414	2147.55102539	
2130.05029297	2082.70288086	
2130.1003418	2132.54174805	
2130.15039062	2173.2253418	
2130.20019531	2119.98242188	
2130.25024414	2107.61547852	
2130.30029297	2046.07543945	
2130.3503418	2072.1940918	
2130.40039062	2084.95068359	
2130.45019531	2118.20874023	
2130.50024414	2191.1574707	
2130.55029297	2111.46459961	
2130.6003418	2164.71459961	
2130.65039062	2190.42553711	
2130.70019531	2204.57324219	
2130.75024414	2198.35717773	
2130.80029297	2181.23974609	
2130.8503418	2176.50195312	
2130.90039062	2163.32006836	
2130.95019531	2229.30273438	
2131.00024414	2189.37475586	
2131.05029297	2130.77001953	
2131.1003418	2188.73901367	
2131.15039062	2182.70654297	
2131.20019531	2253.29272461	
2131.25024414	2195.49804688	
2131.30029297	2120.24169922	
2131.3503418	2149.24731445	
2131.40039062	2180.46850586	
2131.45019531	2246.10083008	
2131.50024414	2236.9284668	
2131.55029297	2204.16381836	
2131.6003418	2219.51879883	
2131.65039062	2207.25244141	
2131.70019531	2188.81298828	
2131.75024414	2257.92749023	
2131.80029297	2252.19482422	
2131.8503418	2262.67993164	
2131.90039062	2256.40405273	
2131.95019531	2236.78710938	
2132.00024414	2301.03930664	
2132.05029297	2285.29711914	
2132.1003418	2208.96337891	
2132.15039062	2233.83154297	
2132.20019531	2244.58129883	
2132.25024414	2286.45043945	
2132.30029297	2133.38549805	
2132.3503418	2228.93798828	
2132.40039062	2282.73925781	
2132.45019531	2326.5949707	
2132.50024414	2289.05908203	
2132.55029297	2317.18359375	
2132.6003418	2329.13183594	
2132.65039062	2280.40405273	
2132.70019531	2301.18774414	
2132.75024414	2375.59863281	
2132.80029297	2360.75854492	
2132.8503418	2332.84936523	
2132.90039062	2390.43579102	
2132.95019531	2256.91674805	
2133.00024414	2365.8684082	
2133.05029297	2411.20483398	
2133.1003418	2485.20751953	
2133.15039062	2368.8046875	
2133.20019531	2446.55810547	
2133.25024414	2404.31616211	
2133.30029297	2400.12280273	
2133.3503418	2364.59130859	
2133.40039062	2361.45336914	
2133.45019531	2386.07836914	
2133.50024414	2416.36474609	
2133.55029297	2443.70239258	
2133.6003418	2446.41601562	
2133.65039062	2344.69287109	
2133.70019531	2409.97680664	
2133.75024414	2525.46459961	
2133.80029297	2483.14160156	
2133.8503418	2461.78344727	
2133.90039062	2481.31811523	
2133.95019531	2518.27929688	
2134.00024414	2465.67138672	
2134.05029297	2583.95214844	
2134.1003418	2533.7175293	
2134.15039062	2494.08935547	
2134.20019531	2492.90795898	
2134.25024414	2540.78076172	
2134.30029297	2627.09423828	
2134.3503418	2619.08837891	
2134.40039062	2625.05712891	
2134.45019531	2593.75634766	
2134.50024414	2547.51831055	
2134.55029297	2607.62158203	
2134.6003418	2630.26953125	
2134.65039062	2673.97631836	
2134.70019531	2706.57470703	
2134.75024414	2711.22924805	
2134.80029297	2712.13525391	
2134.8503418	2681.78808594	
2134.90039062	2736.80102539	
2134.95019531	2753.29833984	
2135.00024414	2798.06787109	
2135.05029297	2798.0012207	
2135.1003418	2823.19384766	
2135.15039062	2832.36865234	
2135.20019531	2714.80957031	
2135.25024414	2768.31298828	
2135.30029297	2820.734375	
2135.3503418	2874.31835938	
2135.40039062	2881.93212891	
2135.45019531	2819.71899414	
2135.50024414	2914.23510742	
2135.55029297	2980.87426758	
2135.6003418	2947.66162109	
2135.65039062	3030.9206543	
2135.70019531	2991.22485352	
2135.75024414	2980.21801758	
2135.80029297	3127.21264648	
2135.8503418	3066.53808594	
2135.90039062	2985.58813477	
2135.95019531	2996.97412109	
2136.00024414	3043.2512207	
2136.05029297	3036.46582031	
2136.1003418	3038.50146484	
2136.15039062	3148.47314453	
2136.20019531	3093.49145508	
2136.25024414	3165.04394531	
2136.30029297	3188.09277344	
2136.3503418	3154.14331055	
2136.40039062	3108.64501953	
2136.45019531	3166.05419922	
2136.50024414	3259.66772461	
2136.55029297	3253.10229492	
2136.6003418	3223.47802734	
2136.65039062	3257.79248047	
2136.70019531	3267.66015625	
2136.75024414	3269.78198242	
2136.80029297	3257.84692383	
2136.8503418	3294.90185547	
2136.90039062	3345.7277832	
2136.95019531	3353.47070312	
2137.00024414	3438.16552734	
2137.05029297	3408.61010742	
2137.1003418	3403.79321289	
2137.15039062	3350.54174805	
2137.20019531	3361.35986328	
2137.25024414	3443.93530273	
2137.30029297	3390.67382812	
2137.3503418	3469.18774414	
2137.40039062	3406.75415039	
2137.45019531	3514.07055664	
2137.50024414	3513.92529297	
2137.55029297	3421.93017578	
2137.6003418	3507.17041016	
2137.65039062	3493.83813477	
2137.70019531	3564.47705078	
2137.75024414	3596.96899414	
2137.80029297	3530.30566406	
2137.8503418	3481.49145508	
2137.90039062	3551.70385742	
2137.95019531	3502.11108398	
2138.00024414	3517.4050293	
2138.05029297	3545.80810547	
2138.1003418	3615.81665039	
2138.15039062	3588.94482422	
2138.20019531	3645.53320312	
2138.25024414	3474.22412109	
2138.30029297	3625.05688477	
2138.3503418	3548.49707031	
2138.40039062	3589.53979492	
2138.45019531	3550.18994141	
2138.50024414	3501.0168457	
2138.55029297	3583.65356445	
2138.6003418	3664.43823242	
2138.65039062	3582.72851562	
2138.70019531	3586.7722168	
2138.75024414	3576.20483398	
2138.80029297	3563.57617188	
2138.8503418	3648.87084961	
2138.90039062	3609.52197266	
2138.95019531	3589.05493164	
2139.00024414	3359.78808594	
2139.05029297	3559.15039062	
2139.1003418	3532.3125	
2139.15039062	3609.0769043	
2139.20019531	3543.26098633	
2139.25024414	3497.23413086	
2139.30029297	3560.49072266	
2139.3503418	3533.34423828	
2139.40039062	3462.36523438	
2139.45019531	3454.14990234	
2139.50024414	3446.48461914	
2139.55029297	3316.61499023	
2139.6003418	3462.31323242	
2139.65039062	3409.08740234	
2139.70019531	3517.21899414	
2139.75024414	3472.57177734	
2139.80029297	3412.40234375	
2139.8503418	3371.68310547	
2139.90039062	3361.01196289	
2139.95019531	3354.5378418	
2140.00024414	3334.58178711	
2140.05029297	3333.79614258	
2140.1003418	3363.22827148	
2140.15039062	3315.59936523	
2140.20019531	3335.58178711	
2140.25024414	3332.51831055	
2140.30029297	3250.7019043	
2140.3503418	3322.43432617	
2140.40039062	3235.45629883	
2140.45019531	3195.81396484	
2140.50024414	3255.47045898	
2140.55029297	3193.20141602	
2140.6003418	3220.44848633	
2140.65039062	3103.72094727	
2140.70019531	3131.14135742	
2140.75024414	3159.2980957	
2140.80029297	3095.9519043	
2140.8503418	3088.6640625	
2140.90039062	3051.71166992	
2140.95019531	3004.60302734	
2141.00024414	2974.40283203	
2141.05029297	3027.39697266	
2141.1003418	2965.33056641	
2141.15039062	2977.35913086	
2141.20019531	2927.45141602	
2141.25024414	2921.50805664	
2141.30029297	2864.81298828	
2141.3503418	2832.4909668	
2141.40039062	2769.88085938	
